objectid	izena_nombre	longitude	latitude	izena	nombre
6502	Bolatokia / Juego de Bolos	-2,41489350299997	42,8240306320001	Bolatokia	Juego de Bolos
6503	Bolatokia / Juego de Bolos	-2,64547694099997	42,918001266	Bolatokia	Juego de Bolos
6504	Bolatokia / Juego de Bolos	-2,54755115299997	42,814725767	Bolatokia	Juego de Bolos
6505	Bolatokia / Juego de Bolos	-2,64302383099994	42,8037164240001	Bolatokia	Juego de Bolos
6506	Bolatokia / Juego de Bolos	-2,53897799199996	42,8425180670001	Bolatokia	Juego de Bolos
6507	Bolatokia / Juego de Bolos	-2,87930081699994	42,660391202	Bolatokia	Juego de Bolos
6508	Bolatokia / Juego de Bolos	-2,96087133699996	42,8123710020001	Bolatokia	Juego de Bolos
6509	Bolatokia / Juego de Bolos	-2,68118626999996	42,857410847	Bolatokia	Juego de Bolos
6510	Bolatokia / Juego de Bolos	-2,62761506999993	42,8321243010001	Bolatokia	Juego de Bolos
6511	Bolatokia / Juego de Bolos	-2,49379646699993	42,9175211020001	Bolatokia	Juego de Bolos
6512	Bolatokia / Juego de Bolos	-2,53698209199996	42,8869060530001	Bolatokia	Juego de Bolos
6513	Bolatokia / Juego de Bolos	-2,52065727199994	42,8964744720001	Bolatokia	Juego de Bolos
6514	Bolatokia / Juego de Bolos	-2,53927635099996	42,925817845	Bolatokia	Juego de Bolos
6515	Bolatokia / Juego de Bolos	-2,64442946799994	42,904129981	Bolatokia	Juego de Bolos
6516	Bolatokia / Juego de Bolos	-2,77723252199996	42,807478202	Bolatokia	Juego de Bolos
6517	Bolatokia / Juego de Bolos	-2,60459421399997	42,794674839	Bolatokia	Juego de Bolos
6518	Bolatokia / Juego de Bolos	-2,45993445299996	42,9157454260001	Bolatokia	Juego de Bolos
6519	Bolatokia / Juego de Bolos	-2,59375060199994	42,887661881	Bolatokia	Juego de Bolos
6520	Bolatokia / Juego de Bolos	-2,44330417499998	42,878113989	Bolatokia	Juego de Bolos
6521	Bolatokia / Juego de Bolos	-2,90508814199995	42,77721724	Bolatokia	Juego de Bolos
6522	Bolatokia / Juego de Bolos	-2,86250207099994	42,7586227900001	Bolatokia	Juego de Bolos
6523	Bolatokia / Juego de Bolos	-2,51286888099997	42,8402486890001	Bolatokia	Juego de Bolos
6524	Bolatokia / Juego de Bolos	-2,49036763799995	42,892021132	Bolatokia	Juego de Bolos
6525	Bolatokia / Juego de Bolos	-2,51305002299995	42,9355249320001	Bolatokia	Juego de Bolos
6526	Bolatokia / Juego de Bolos	-2,50098489899995	42,8678437680001	Bolatokia	Juego de Bolos
6527	Bolatokia / Juego de Bolos	-2,46863354899995	42,8729212480001	Bolatokia	Juego de Bolos
6528	Bolatokia / Juego de Bolos	-2,48678051299993	42,8829998670001	Bolatokia	Juego de Bolos
6529	Bolatokia / Juego de Bolos	-2,29410670099998	42,8629729640001	Bolatokia	Juego de Bolos
