pageid	qid
596385	Q8114
1009706	Q8115
335205	Q8116
335210	Q8117
96699	Q8118
302692	Q8119
1210412	Q8120
342422	Q8121
1232648	Q8122
655621	Q8123
744590	Q8124
580573	Q8125
1180543	Q8126
841541	Q8127
148267	Q8128
342433	Q8129
148258	Q8130
740681	Q8131
1057650	Q8132
63073	Q8133
1180984	Q8134
143386	Q8135
148264	Q8136
583529	Q8137
579528	Q8138
579530	Q8139
573331	Q8140
148266	Q8141
583531	Q8142
103812	Q8143
433168	Q8144
656029	Q8145
238875	Q8146
238861	Q8147
238864	Q8148
238880	Q8149
238878	Q8150
238866	Q8151
238871	Q8152
579105	Q8153
238867	Q8154
238872	Q8155
238868	Q8156
238873	Q8157
238869	Q8158
238874	Q8159
238882	Q8160
238870	Q8161
842918	Q8162
112348	Q8163
146702	Q8164
113997	Q8165
103765	Q8166
621514	Q8167
137016	Q8168
518558	Q8169
1199782	Q8170
1212176	Q8171
1042693	Q8172
744667	Q8173
239838	Q8174
994488	Q8175
851475	Q8176
731216	Q8177
586856	Q8178
587040	Q8179
899727	Q8180
900649	Q8181
900591	Q8182
1246211	Q8183
894159	Q8184
143592	Q8185
945504	Q8186
678501	Q8187
97977	Q8188
729300	Q8189
899807	Q8190
654159	Q8191
654177	Q8192
1013222	Q8193
42859	Q8194
729297	Q8195
576760	Q8196
970528	Q8197
1050249	Q8198
934177	Q8199
743483	Q8200
1252628	Q8201
576805	Q8202
576847	Q8203
1079315	Q8204
576764	Q8205
891411	Q8206
888984	Q8207
744248	Q8208
743474	Q8209
1108660	Q8210
576852	Q8211
901016	Q8212
576806	Q8213
743478	Q8214
1050025	Q8215
604342	Q8216
241058	Q8217
742155	Q8218
839555	Q8219
988882	Q8220
931597	Q8221
576704	Q8222
743480	Q8223
1123296	Q8224
742862	Q8225
576862	Q8226
751532	Q8227
901010	Q8228
131659	Q8229
967793	Q8230
886632	Q8231
580989	Q8232
1194209	Q8233
161727	Q8234
591376	Q8235
596395	Q8236
576789	Q8237
1246317	Q8238
122142	Q8239
573202	Q8240
122137	Q8241
850668	Q8242
576794	Q8243
160606	Q8244
730802	Q8245
241868	Q8246
973350	Q8247
335522	Q8248
667390	Q8249
669333	Q8250
661017	Q8251
622648	Q8252
856159	Q8253
654109	Q8254
596038	Q8255
890177	Q8256
573261	Q8257
68524	Q8258
668632	Q8259
850667	Q8260
595340	Q8261
123554	Q8262
669405	Q8263
376633	Q8264
128457	Q8265
569009	Q8266
595347	Q8267
890179	Q8268
1082562	Q8269
977460	Q8270
667391	Q8271
123919	Q8272
1263910	Q8273
589107	Q8274
123559	Q8275
123577	Q8276
123645	Q8277
596040	Q8278
1033235	Q8279
669492	Q8280
661642	Q8281
576645	Q8282
1255472	Q8283
1107511	Q8284
1263908	Q8285
1247633	Q8286
301704	Q8287
1063498	Q8288
647828	Q8289
1041232	Q8290
1085564	Q8291
1044946	Q8292
898273	Q8293
1022832	Q8294
1019704	Q8295
1057355	Q8296
647830	Q8297
647759	Q8298
647842	Q8299
1044465	Q8300
646997	Q8301
164057	Q8302
342868	Q8303
647681	Q8304
1056851	Q8305
1056982	Q8306
1083718	Q8307
121583	Q8308
1048140	Q8309
1062892	Q8310
576967	Q8311
1064213	Q8312
1120328	Q8313
1025326	Q8314
1048141	Q8315
123672	Q8316
576968	Q8317
1052382	Q8318
576870	Q8319
1052383	Q8320
1083607	Q8321
644411	Q8322
1035955	Q8323
1054423	Q8324
1083919	Q8325
1061394	Q8326
14981	Q8327
1034915	Q8328
1057401	Q8329
1033678	Q8330
1083740	Q8331
970928	Q8332
644230	Q8333
1056648	Q8334
1033481	Q8335
667389	Q8336
675910	Q8337
1054418	Q8338
1133303	Q8339
1227630	Q8340
1025336	Q8341
432673	Q8342
1057221	Q8343
94447	Q8344
1055045	Q8345
1039900	Q8346
1248111	Q8347
1248113	Q8348
654091	Q8349
533535	Q8350
1185972	Q8351
975939	Q8352
1131613	Q8353
1024524	Q8354
1013450	Q8355
1024515	Q8356
981488	Q8357
395730	Q8358
1024536	Q8359
1024538	Q8360
730058	Q8361
654080	Q8362
654160	Q8363
395839	Q8364
395747	Q8365
1121468	Q8366
1276761	Q8367
654123	Q8368
855824	Q8369
654142	Q8370
654151	Q8371
654098	Q8372
654120	Q8373
654122	Q8374
654090	Q8375
654069	Q8376
1247504	Q8377
744252	Q8378
742863	Q8379
1248987	Q8380
654051	Q8381
731847	Q8382
1253966	Q8383
666435	Q8384
131679	Q8385
666657	Q8386
225969	Q8387
743477	Q8388
742158	Q8389
654072	Q8390
655240	Q8391
1049980	Q8392
654046	Q8393
239041	Q8394
742777	Q8395
1256407	Q8396
744247	Q8397
654048	Q8398
654067	Q8399
1256410	Q8400
901008	Q8401
576715	Q8402
901002	Q8403
898143	Q8404
744254	Q8405
1251761	Q8406
730723	Q8407
1252087	Q8408
843477	Q8409
968401	Q8410
730595	Q8411
573791	Q8412
593580	Q8413
596473	Q8414
1221920	Q8415
1141074	Q8416
